id,name,engine_size,cylinders,turbo,petrol,combined_fuel_consumption
168,Chevrolet CAMARO,2,4,1,1,10.72612604
169,Chevrolet CAMARO,2,4,1,1,9.472471799
170,Chevrolet CAMARO,3.6,6,0,1,11.99206681
171,Chevrolet CAMARO,3.6,6,0,1,10.73939803
172,Chevrolet CAMARO,6.2,8,0,1,12.62621654
173,Chevrolet CAMARO,6.2,8,0,1,11.9509382
174,Chevrolet COLORADO 2WD,2.7,4,1,1,10.73341912
175,Chevrolet COLORADO 4WD,2.7,4,1,1,11.33230872
176,Chevrolet CORVETTE,6.2,8,0,1,12.5758556
177,Chevrolet CORVETTE Z06,5.5,8,0,1,15.78738942
178,Chevrolet CORVETTE Z06 CARBON AERO,5.5,8,0,1,16.6867675
179,Chevrolet EQUINOX AWD,1.5,4,1,1,8.971796495
180,Chevrolet EQUINOX FWD,1.5,4,1,1,8.400357143
181,Chevrolet MALIBU,1.5,4,1,1,7.77291624
182,Chevrolet SILVERADO 2WD,2.7,4,1,1,12.00492017
183,Chevrolet SILVERADO 2WD,2.7,4,1,1,11.86377415
184,Chevrolet SILVERADO 2WD,3,6,1,0,9.078207439
185,Chevrolet SILVERADO 2WD,5.3,8,0,1,13.2511183
186,Chevrolet SILVERADO 2WD,5.3,8,0,1,13.09895079
187,Chevrolet SILVERADO 2WD,5.3,8,0,1,12.6550201
188,Chevrolet SILVERADO 2WD,5.3,8,0,1,12.64243636
189,Chevrolet SILVERADO 2WD CAB CHASSIS,5.3,8,0,1,14.6460684
190,Chevrolet SILVERADO 4WD,2.7,4,1,1,12.22714915
191,Chevrolet SILVERADO 4WD,2.7,4,1,1,12.1457009
192,Chevrolet SILVERADO 4WD,3,6,1,0,9.674208554
193,Chevrolet SILVERADO 4WD,3,6,1,0,9.612963871
194,Chevrolet SILVERADO 4WD,5.3,8,0,1,14.17004536
195,Chevrolet SILVERADO 4WD,5.3,8,0,1,13.88816722
196,Chevrolet SILVERADO 4WD,5.3,8,0,1,13.83588235
197,Chevrolet SILVERADO 4WD,6.2,8,0,1,13.57602133
198,Chevrolet SILVERADO 4WD CAB CHASSIS,5.3,8,0,1,14.93709793
199,Chevrolet SILVERADO 4WD MUD TERRAIN TIRES,2.7,4,1,1,13.56592053
200,Chevrolet SILVERADO 4WD MUD TERRAIN TIRES,3,6,1,0,10.717866
201,Chevrolet SILVERADO 4WD MUD TERRAIN TIRES,5.3,8,0,1,14.700625
202,Chevrolet SILVERADO 4WD MUD TERRAIN TIRES,5.3,8,0,1,14.63358489
203,Chevrolet SILVERADO 4WD MUD TERRAIN TIRES,5.3,8,0,1,13.88816722
204,Chevrolet SILVERADO 4WD MUD TERRAIN TIRES,6.2,8,0,1,14.30317551
205,Chevrolet SILVERADO 4WD ZR2,6.2,8,0,1,15.50923789
206,Chevrolet SUBURBAN 2WD,3,6,1,0,10.22652174
207,Chevrolet SUBURBAN 2WD,5.3,8,0,1,13.96957945
208,Chevrolet SUBURBAN 2WD,6.2,8,0,1,14.700625
209,Chevrolet SUBURBAN 4WD,3,6,1,0,10.69136364
210,Chevrolet SUBURBAN 4WD,5.3,8,0,1,14.49980273
211,Chevrolet SUBURBAN 4WD,6.2,8,0,1,14.95618888
212,Chevrolet TAHOE 2WD,3,6,1,0,9.883146842
213,Chevrolet TAHOE 2WD,5.3,8,0,1,13.96957945
214,Chevrolet TAHOE 2WD,6.2,8,0,1,14.700625
215,Chevrolet TAHOE 4WD,3,6,1,0,10.69136364
216,Chevrolet TAHOE 4WD,5.3,8,0,1,14.97876188
217,Chevrolet TAHOE 4WD,5.3,8,0,1,13.96957945
218,Chevrolet TAHOE 4WD,6.2,8,0,1,14.95618888
219,Chevrolet TRAILBLAZER AWD,1.3,3,1,1,8.297322181
220,Chevrolet TRAILBLAZER FWD,1.2,3,1,1,7.823694942
221,Chevrolet TRAILBLAZER FWD,1.3,3,1,1,7.666208191
222,Chevrolet TRAVERSE AWD,3.6,6,0,1,11.59435292
223,Chevrolet TRAVERSE FWD,3.6,6,0,1,11.04645702
224,Chrysler 300,3.6,6,0,1,10.32537599
225,Chrysler 300,5.7,8,0,1,12.3392089
226,Chrysler 300,6.4,8,0,1,13.11194854
227,Chrysler 300 AWD,3.6,6,0,1,10.9882974
228,Chrysler Pacifica,3.6,6,0,1,10.57351698
229,Chrysler Pacifica AWD,3.6,6,0,1,11.98754408
230,Chrysler Voyager,3.6,6,0,1,10.57351698
231,Dodge Challenger,3.6,6,0,1,10.32537599
232,Dodge Challenger,5.7,8,0,1,12.3392089
233,Dodge Challenger,5.7,8,0,1,13.09545019
234,Dodge Challenger,6.4,8,0,1,13.90549161
235,Dodge Challenger,6.4,8,0,1,13.11194854
236,Dodge Challenger AWD,3.6,6,0,1,10.9882974
237,Dodge Challenger Widebody,6.4,8,0,1,13.90549161
238,Dodge Challenger Widebody,6.4,8,0,1,13.11194854
239,Dodge Charger,3.6,6,0,1,10.32537599
240,Dodge Charger,5.7,8,0,1,12.3392089
241,Dodge Charger,6.4,8,0,1,13.11194854
242,Dodge Charger AWD,3.6,6,0,1,10.9882974
243,Dodge Charger Widebody,6.4,8,0,1,13.11194854
244,Dodge Durango AWD,3.6,6,0,1,11.15103991
245,Dodge Durango AWD,5.7,8,0,1,14.09396777
246,Dodge Durango RWD,3.6,6,0,1,11.00531527
247,Dodge Durango RWD,5.7,8,0,1,13.8977683
248,Dodge Durango SRT AWD,6.4,8,0,1,15.55662848
249,Dodge Hornet AWD,2,4,1,1,9.851315128
250,"Ferrari North America, Inc. 812 Competizione",6.5,12,0,1,17.36584862
251,"Ferrari North America, Inc. 812 Competizione A",6.5,12,0,1,17.25615348
252,"Ferrari North America, Inc. 812 GTS",6.5,12,0,1,17.71012943
253,"Ferrari North America, Inc. F8 Spider",3.9,8,1,1,14.74929768
254,"Ferrari North America, Inc. F8 Tributo",3.9,8,1,1,14.415469
255,"Ferrari North America, Inc. Ferrari Daytona SP3",6.5,12,0,1,17.57029312
256,"Ferrari North America, Inc. Ferrari Monza SP1",6.5,12,0,1,17.54133449
257,"Ferrari North America, Inc. Ferrari Monza SP2",6.5,12,0,1,17.54133449
258,"Ferrari North America, Inc. Portofino M",3.9,8,1,1,12.55183013
259,"Ferrari North America, Inc. Roma",3.9,8,1,1,12.57437652
260,FIAT 500X AWD,1.3,4,1,1,8.912271661
261,Ford BRONCO 4WD,2.3,4,1,1,11.64014094
262,Ford BRONCO 4WD,2.3,4,1,1,11.61135218
263,Ford BRONCO 4WD,2.7,6,1,1,12.00142868
264,Ford BRONCO BADLANDS 4WD,2.3,4,1,1,14.03635452
265,Ford BRONCO BADLANDS 4WD,2.3,4,1,1,13.54334608
266,Ford BRONCO BADLANDS 4WD,2.7,6,1,1,14.01853563
267,Ford BRONCO BLACK DIAMOND 4WD,2.3,4,1,1,13.83588235
268,Ford BRONCO BLACK DIAMOND 4WD,2.3,4,1,1,13.06722222
269,Ford BRONCO BLACK DIAMOND 4WD,2.7,6,1,1,13.06722222
270,Ford BRONCO RAPTOR 4WD,3,6,1,1,15.31704013
271,Ford BRONCO SASQUATCH 4WD,2.3,4,1,1,13.83588235
272,Ford BRONCO SASQUATCH 4WD,2.3,4,1,1,13.06722222
273,Ford BRONCO SASQUATCH 4WD,2.7,6,1,1,14.06792029
274,Ford BRONCO SPORT 4WD,1.5,3,1,1,9.046538462
275,Ford BRONCO SPORT 4WD,2,4,1,1,10.22652174
276,Ford EDGE AWD,2,4,1,1,10.09051909
277,Ford EDGE AWD,2,4,1,1,10.03905333
278,Ford EDGE AWD,2.7,6,1,1,11.1571228
279,Ford ESCAPE AWD,1.5,3,1,1,8.400357143
280,Ford ESCAPE AWD,2,4,1,1,8.91821901
281,Ford ESCAPE FWD,1.5,3,1,1,7.945746909
282,Ford EXPEDITION 2WD,3.5,6,1,1,12.39878969
283,Ford EXPEDITION 2WD,3.5,6,1,1,12.22448014
284,Ford EXPEDITION 4WD,3.5,6,1,1,13.07899332
285,Ford EXPEDITION 4WD,3.5,6,1,1,12.80556191
286,Ford EXPEDITION TIMBERLINE 4WD,3.5,6,1,1,13.83588235
287,Ford EXPEDITION TIMBERLINE 4WD,3.5,6,1,1,13.53197022
288,Ford EXPLORER AWD,2.3,4,1,1,10.50180604
289,Ford EXPLORER AWD,2.3,4,1,1,10.24277658
290,Ford EXPLORER AWD,3,6,1,1,12.02142503
291,Ford EXPLORER AWD,3,6,1,1,11.94068494
292,Ford EXPLORER AWD,3,6,1,1,11.65958628
293,Ford EXPLORER AWD,3,6,1,1,11.56442517
294,Ford EXPLORER FFV AWD,3.3,6,0,1,11.76355853
295,Ford EXPLORER RWD,2.3,4,1,1,10.19496168
296,Ford EXPLORER RWD,2.3,4,1,1,9.846077853
297,Ford EXPLORER RWD,3,6,1,1,11.58230622
298,Ford EXPLORER RWD,3,6,1,1,11.3309985
299,Ford EXPLORER TIMBERLINE AWD,2.3,4,1,1,11.82256848
300,Ford EXPLORER TIMBERLINE AWD,2.3,4,1,1,11.46208463
301,Ford F150 PICKUP 2WD,2.7,6,1,1,11.40766104
302,Ford F150 PICKUP 2WD,2.7,6,1,1,10.70893603
303,Ford F150 PICKUP 2WD,3.5,6,1,1,11.45042256
304,Ford F150 PICKUP 2WD FFV,3.3,6,0,1,11.7605
305,Ford F150 PICKUP 2WD FFV,3.3,6,0,1,11.20047619
306,Ford F150 PICKUP 2WD FFV,5,8,0,1,12.29252028
307,Ford F150 PICKUP 2WD FFV,5,8,0,1,11.99879609
308,Ford F150 PICKUP 4WD,2.7,6,1,1,11.98986614
309,Ford F150 PICKUP 4WD,2.7,6,1,1,11.5164097
310,Ford F150 PICKUP 4WD,3.5,6,1,1,12.43273815
311,Ford F150 PICKUP 4WD,3.5,6,1,1,11.92561007
312,Ford F150 PICKUP 4WD FFV,3.3,6,0,1,11.7605
313,Ford F150 PICKUP 4WD FFV,5,8,0,1,12.80521333
314,Ford F150 PICKUP 4WD FFV,5,8,0,1,12.41364387
315,Ford F150 PICKUP TREMOR 4WD,3.5,6,1,1,13.25843837
316,Ford F150 PICKUP TREMOR 4WD,3.5,6,1,1,13.14712754
317,Ford F150 PICKUP TREMOR 4WD FFV,5,8,0,1,13.76954554
318,Ford F150 PICKUP TREMOR 4WD FFV,5,8,0,1,13.69179633
319,Ford F150 RAPTOR 37 4WD,3.5,6,1,1,15.76823292
320,Ford F150 RAPTOR 37 4WD,3.5,6,1,1,15.27238491
321,Ford F150 RAPTOR 4WD,3.5,6,1,1,15.68066667
322,Ford F150 RAPTOR 4WD,3.5,6,1,1,14.61585305
323,Ford MAVERICK AWD,2,4,1,1,9.800416667
324,Ford MAVERICK FWD,2,4,1,1,9.4084
325,Ford MAVERICK TREMOR AWD,2,4,1,1,10.99584868
326,Ford MUSTANG,2.3,4,1,1,9.816818935
327,Ford MUSTANG,2.3,4,1,1,9.601975833
328,Ford MUSTANG,2.3,4,1,1,9.264576711
329,Ford MUSTANG,5,8,0,1,13.23627892
330,Ford MUSTANG,5,8,0,1,12.7050575
331,Ford MUSTANG CONVERTIBLE,2.3,4,1,1,10.32043772
332,Ford MUSTANG CONVERTIBLE,2.3,4,1,1,10.22652174
333,Ford MUSTANG CONVERTIBLE,2.3,4,1,1,10.22114453
334,Ford MUSTANG CONVERTIBLE,5,8,0,1,13.16854687
335,Ford MUSTANG HO CONVERTIBLE,2.3,4,1,1,11.20047619
336,Ford MUSTANG HO CONVERTIBLE,2.3,4,1,1,10.69136364
337,Ford MUSTANG HO COUPE,2.3,4,1,1,10.48009446
338,Ford MUSTANG HO COUPE,2.3,4,1,1,10.22652174
339,Ford MUSTANG MACH 1,5,8,0,1,13.86957727
340,Ford MUSTANG MACH 1,5,8,0,1,13.06722222
341,Ford RANGER 2WD,2.3,4,1,1,10.54342028
342,Ford RANGER 2WD,2.3,4,1,1,10.08407324
343,Ford RANGER 4WD,2.3,4,1,1,11.12651138
344,Ford RANGER 4WD,2.3,4,1,1,10.8621462
345,Ford RANGER TREMOR 4WD,2.3,4,1,1,12.3859274
346,Ford Transit Connect Van FWD,2,4,0,1,9.397423809
347,Ford Transit Connect Wagon LWB FWD,2,4,0,1,9.203025288
348,GENESIS G70 AWD,2,4,1,1,10.33254261
349,GENESIS G70 AWD,3.3,6,1,1,11.52583402
350,GENESIS G70 RWD,2,4,1,1,9.477891903
351,GENESIS G70 RWD,3.3,6,1,1,11.3737911
352,GENESIS G80 AWD,2.5,4,1,1,9.471937758
353,GENESIS G80 AWD,3.5,6,1,1,12.21349867
354,GENESIS G80 RWD,2.5,4,1,1,9.078452715
355,GENESIS G90 AWD,3.5,6,1,1,11.30301064
356,GENESIS GV70 AWD,2.5,4,1,1,10.77753493
357,GENESIS GV70 AWD,2.5,4,1,1,9.672338781
358,GENESIS GV70 AWD,3.5,6,1,1,11.30627058
359,GENESIS GV80 AWD,2.5,4,1,1,10.67118539
360,GENESIS GV80 AWD,3.5,6,1,1,11.77156527
361,GMC ACADIA AWD,2,4,1,1,9.614260547
362,GMC ACADIA AWD,3.6,6,0,1,11.03821444
363,GMC ACADIA FWD,2,4,1,1,9.282675444
364,GMC ACADIA FWD,3.6,6,0,1,10.7021144
365,GMC SIERRA 2WD,2.7,4,1,1,12.00492017
366,GMC SIERRA 2WD,2.7,4,1,1,11.85444649
367,GMC SIERRA 2WD,3,6,1,0,9.078207439
368,GMC SIERRA 2WD,5.3,8,0,1,13.2511183
369,GMC SIERRA 2WD,5.3,8,0,1,13.09895079
370,GMC SIERRA 2WD,5.3,8,0,1,12.76601519
371,GMC SIERRA 2WD,5.3,8,0,1,12.75168877
372,GMC SIERRA 2WD CAB CHASSIS,5.3,8,0,1,14.6460684
373,GMC SIERRA 4WD,2.7,4,1,1,12.39813614
374,GMC SIERRA 4WD,2.7,4,1,1,12.35749036
375,GMC SIERRA 4WD,3,6,1,0,9.612963871
376,GMC SIERRA 4WD,5.3,8,0,1,14.17004536
377,GMC SIERRA 4WD,5.3,8,0,1,13.88816722
378,GMC SIERRA 4WD,5.3,8,0,1,13.83588235
379,GMC SIERRA 4WD,6.2,8,0,1,14.02564103
380,GMC SIERRA 4WD AT4X,6.2,8,0,1,15.50923789
381,GMC SIERRA 4WD CAB CHASSIS,5.3,8,0,1,14.93709793
382,GMC SIERRA 4WD MUD TERRAIN TIRES,2.7,4,1,1,13.56592053
383,GMC SIERRA 4WD MUD TERRAIN TIRES,3,6,1,0,10.717866
384,GMC SIERRA 4WD MUD TERRAIN TIRES,5.3,8,0,1,14.700625
385,GMC SIERRA 4WD MUD TERRAIN TIRES,5.3,8,0,1,14.68511385
386,GMC SIERRA 4WD MUD TERRAIN TIRES,5.3,8,0,1,13.88816722
387,GMC SIERRA 4WD MUD TERRAIN TIRES,6.2,8,0,1,15.50923789
388,GMC TERRAIN AWD,1.5,4,1,1,9.183836822
389,GMC TERRAIN FWD,1.5,4,1,1,8.885640026
390,GMC YUKON 2WD,3,6,1,0,10.22652174
391,GMC YUKON 2WD,5.3,8,0,1,13.96957945
392,GMC YUKON 2WD,6.2,8,0,1,14.700625
393,GMC YUKON 4WD,3,6,1,0,10.69136364
394,GMC YUKON 4WD,5.3,8,0,1,13.96957945
395,GMC YUKON 4WD,6.2,8,0,1,14.95618888
396,GMC YUKON XL 2WD,3,6,1,0,10.22652174
397,GMC YUKON XL 2WD,5.3,8,0,1,13.96957945
398,GMC YUKON XL 2WD,6.2,8,0,1,14.67952319
399,GMC YUKON XL 4WD,3,6,1,0,10.69136364
400,GMC YUKON XL 4WD,5.3,8,0,1,14.49980273
401,GMC YUKON XL 4WD,6.2,8,0,1,14.95618888
402,Honda ACCORD,1.5,4,1,1,7.3503125
403,Honda CIVIC 4Dr,1.5,4,1,1,7.492744898
404,Honda CIVIC 4Dr,1.5,4,1,1,6.934686405
405,Honda CIVIC 4Dr,1.5,4,1,1,6.476902234
406,Honda CIVIC 4Dr,2,4,0,1,7.105591488
407,Honda CIVIC 4Dr,2,4,0,1,6.786071834
408,Honda CIVIC 5Dr,1.5,4,1,1,7.508483396
409,Honda CIVIC 5Dr,1.5,4,1,1,7.09598786
410,Honda CIVIC 5Dr,1.5,4,1,1,6.773896265
411,Honda CIVIC 5Dr,2,4,0,1,8.110689655
412,Honda CIVIC 5Dr,2,4,0,1,7.384048371
413,Honda CIVIC 5Dr,2,4,0,1,7.166208134
414,Honda CIVIC 5Dr,2,4,1,1,9.665899564
415,Honda CR-V AWD,1.5,4,1,1,8.15305744
416,Honda CR-V FWD,1.5,4,1,1,7.759735547
417,Honda HR-V AWD,2,4,0,1,8.674566382
418,Honda HR-V FWD,2,4,0,1,8.259677142
419,Honda ODYSSEY FWD,3.5,6,0,1,10.46424202
420,Honda PASSPORT AWD,3.5,6,0,1,11.00068284
421,Honda PILOT AWD,3.5,6,0,1,10.99512907
422,Honda Pilot AWD Touring/Elite/Black,3.5,6,0,1,11.22281494
423,Honda Pilot AWD TRAILSPORT,3.5,6,0,1,11.78926581
424,Honda PILOT FWD,3.5,6,0,1,10.47729348
425,Honda RIDGELINE AWD,3.5,6,0,1,11.34077781
426,HYUNDAI MOTOR COMPANY Elantra,1.6,4,1,1,7.590822982
427,HYUNDAI MOTOR COMPANY Elantra,2,4,0,1,6.936404252
428,HYUNDAI MOTOR COMPANY Elantra,2,4,0,1,6.43881741
429,HYUNDAI MOTOR COMPANY Elantra N,2,4,1,1,10.20482539
430,HYUNDAI MOTOR COMPANY Elantra N,2,4,1,1,9.415555822
431,HYUNDAI MOTOR COMPANY Kona AWD,1.6,4,1,1,8.15000641
432,HYUNDAI MOTOR COMPANY Kona AWD,2,4,0,1,7.903163483
433,HYUNDAI MOTOR COMPANY Kona FWD,1.6,4,1,1,7.453520466
